year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,2,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",68.00,4.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,89.00,26.00,0.00,63.00,0.00,0.00
2023,2,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",56.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,2.00,140.00,124.00,0.00,16.00,0.00,0.00
2023,2,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",17.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,0.00,0.00,0.00,0.00
2023,2,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",96.00,14.00,3.07,0.00,2.10,0.00,8.83,4.00,0.00,683.00,97.00,0.00,80.00,0.00,506.00
2023,2,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1574.00,135.00,59.79,4.76,18.44,0.00,52.01,2.00,0.00,16180.00,8647.00,445.00,517.00,0.00,6571.00
2023,2,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",44.00,4.00,1.00,1.00,2.00,0.00,0.00,0.00,1.00,112.00,28.00,42.00,42.00,0.00,0.00
2023,2,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",86.00,6.00,2.76,0.00,1.00,0.00,2.24,1.00,0.00,289.00,132.00,0.00,39.00,0.00,118.00
2023,2,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",56.00,5.00,1.92,1.00,1.08,0.00,1.00,2.00,0.00,980.00,100.00,787.00,32.00,0.00,61.00
2023,2,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",29.00,4.00,1.59,0.00,1.09,0.00,1.33,1.00,0.00,289.00,175.00,0.00,65.00,0.00,49.00
2023,2,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",52.00,11.00,2.63,1.19,3.68,0.00,3.51,2.00,0.00,1570.00,105.00,294.00,670.00,0.00,501.00
2023,2,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",152.00,19.00,5.75,1.00,2.78,0.00,9.47,9.00,0.00,881.00,388.00,16.00,66.00,0.00,411.00
2023,2,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",45.00,6.00,0.88,1.70,1.35,0.00,2.07,2.00,0.00,303.00,37.00,87.00,73.00,0.00,106.00
2023,2,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,2,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",53.00,7.00,3.30,0.00,0.04,0.00,3.67,0.00,0.00,360.00,115.00,0.00,4.00,0.00,241.00
2023,2,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",56.00,5.00,4.81,0.00,0.17,0.00,0.02,0.00,0.00,264.00,259.00,0.00,4.00,0.00,1.00
2023,2,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",86.00,7.00,5.96,0.00,1.04,0.00,0.00,0.00,0.00,303.00,264.00,0.00,39.00,0.00,0.00
2023,2,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",84.00,17.00,7.20,0.89,4.60,0.00,4.32,2.00,0.00,972.00,465.00,117.00,217.00,0.00,173.00
2023,2,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",172.00,24.00,7.60,0.00,11.28,0.00,5.12,6.00,0.00,970.00,322.00,0.00,345.00,0.00,303.00
